gene_name,gene_type
ZNF585A,transcription_factor
ZNF429,transcription_factor
ZNF100,transcription_factor
ZNF398,transcription_factor
ZNF441,transcription_factor
ZNF257,transcription_factor
ZNF785,transcription_factor
ZNF786,transcription_factor
ZNF675,transcription_factor
ZNF860,transcription_factor
ZNF695,transcription_factor
ZNF615,transcription_factor
ZNF433,transcription_factor
ZNF81,transcription_factor
ZNF780A,transcription_factor
ZNF181,transcription_factor
ZNF44,transcription_factor
ZNF790,transcription_factor
ZNF823,transcription_factor
ZNF311,transcription_factor
ZNF273,transcription_factor
ZNF84,transcription_factor
ZNF667,transcription_factor
ZNF649,transcription_factor
ZNF248,transcription_factor
ZNF334,transcription_factor
ZNF485,transcription_factor
ZNF442,transcription_factor
ZNF26,transcription_factor
ZNF69,transcription_factor
ZNF480,transcription_factor
ZNF587,transcription_factor
ZNF808,transcription_factor
ZNF28,transcription_factor
ZNF627,transcription_factor
ZNF789,transcription_factor
ZNF534,transcription_factor
ZNF525,transcription_factor
ZNF805,transcription_factor
ZNF468,transcription_factor
ZNF616,transcription_factor
ZFP57,transcription_factor
ZNF783,transcription_factor
ZNF425,transcription_factor
ZNF611,transcription_factor
ZNF254,transcription_factor
ZNF90,transcription_factor
ZNF891,transcription_factor
ZNF705G,transcription_factor
ZNF880,transcription_factor
ZNF492,transcription_factor
ZNF879,transcription_factor
ZNF736,transcription_factor
ZNF737,transcription_factor
ZNF324B,transcription_factor
ZNF564,transcription_factor
ZNF674,transcription_factor
ZNF550,transcription_factor
ZNF432,transcription_factor
ZNF10,transcription_factor
ZNF486,transcription_factor
ZNF225,transcription_factor
ZNF285,transcription_factor
ZNF224,transcription_factor
ZIM2,transcription_factor
ZNF2,transcription_factor
ZNF8,transcription_factor
ZNF487,transcription_factor
MXI1,transcription_factor
MYC,transcription_factor
ZEB1,transcription_factor
REST,transcription_factor
CTCFL,transcription_factor
E2F6,transcription_factor
PBX3,transcription_factor
STAT1,transcription_factor
STAT3,transcription_factor
STAT2,transcription_factor
THAP1,transcription_factor
TP73,transcription_factor
HIF1A,transcription_factor
TWIST1,transcription_factor
MITF,transcription_factor
KLF9,transcription_factor
ZNF24,transcription_factor
NFYA,transcription_factor
TFDP1,transcription_factor
FOXK2,transcription_factor
FOXH1,transcription_factor
GRHL2,transcription_factor
PBX2,transcription_factor
DUX4,transcription_factor
IRF1,transcription_factor
MYB,transcription_factor
ESR2,transcription_factor
HNF4G,transcription_factor
NR2F2,transcription_factor
RELB,transcription_factor
SOX13,transcription_factor
TCF7L2,transcription_factor
NFYB,transcription_factor
BACH1,transcription_factor
SIX5,transcription_factor
TBP,transcription_factor
ZNF416,transcription_factor
ZNF574,transcription_factor
ZNF41,transcription_factor
ZNF653,transcription_factor
ZNF35,transcription_factor
ZNF16,transcription_factor
ZNF692,transcription_factor
ZFP3,transcription_factor
ZNF322,transcription_factor
ZNF467,transcription_factor
ZSCAN22,transcription_factor
ZNF71,transcription_factor
ZFP64,transcription_factor
PRDM6,transcription_factor
ZNF37A,transcription_factor
ZNF586,transcription_factor
MYNN,transcription_factor
ZNF213,transcription_factor
PATZ1,transcription_factor
MAZ,transcription_factor
ZNF175,transcription_factor
KLF7,transcription_factor
GTF3A,transcription_factor
ZNF436,transcription_factor
FEZF1,transcription_factor
ZNF341,transcription_factor
ZNF394,transcription_factor
IKZF3,transcription_factor
ZNF513,transcription_factor
ZNF22,transcription_factor
ZNF146,transcription_factor
ZNF280A,transcription_factor
ZNF768,transcription_factor
ZNF554,transcription_factor
ZNF596,transcription_factor
ZBTB42,transcription_factor
ZNF594,transcription_factor
ZNF329,transcription_factor
ZBTB6,transcription_factor
ZSCAN30,transcription_factor
ZNF490,transcription_factor
ZNF563,transcription_factor
ZNF34,transcription_factor
ZNF774,transcription_factor
ZNF502,transcription_factor
ZFP28,transcription_factor
ZNF98,transcription_factor
ZNF677,transcription_factor
ZNF121,transcription_factor
ZNF770,transcription_factor
ZSCAN5C,transcription_factor
ZBTB48,transcription_factor
ZNF134,transcription_factor
GLI4,transcription_factor
ZNF260,transcription_factor
ZNF350,transcription_factor
ZNF595,transcription_factor
INSM1,transcription_factor
ARID5B,transcription_factor
LYL1,transcription_factor
AHR,transcription_factor
EPAS1,transcription_factor
ARNT,transcription_factor
TAL1,transcription_factor
NFE2L2,transcription_factor
ATF1,transcription_factor
ZFX,transcription_factor
MECOM,transcription_factor
SALL4,transcription_factor
KLF8,transcription_factor
ZBTB17,transcription_factor
PRDM14,transcription_factor
IKZF1,transcription_factor
ZNF335,transcription_factor
E2F5,transcription_factor
FOXM1,transcription_factor
LHX3,transcription_factor
NKX2-1,transcription_factor
NKX6-1,transcription_factor
MBD2,transcription_factor
MECP2,transcription_factor
NR1H3,transcription_factor
PPARA,transcription_factor
TP53,transcription_factor
RUNX1,transcription_factor
AIRE,transcription_factor
SMAD4,transcription_factor
STAT5A,transcription_factor
STAT4,transcription_factor
STAT6,transcription_factor
STAT5B,transcription_factor
THAP11,transcription_factor
NFYC,transcription_factor
ZNF711,transcription_factor
ARID3A,transcription_factor
HMGA1,transcription_factor
HMGA2,transcription_factor
MYF5,transcription_factor
NFE2L3,transcription_factor
ATF5,transcription_factor
DDIT3,transcription_factor
ZEB2,transcription_factor
HIVEP2,transcription_factor
IKZF2,transcription_factor
ZBTB11,transcription_factor
ZNF423,transcription_factor
ZBTB16,transcription_factor
ZNF541,transcription_factor
GZF1,transcription_factor
ZSCAN10,transcription_factor
PRDM12,transcription_factor
ZNF236,transcription_factor
PRDM15,transcription_factor
PRDM16,transcription_factor
ZNF761,transcription_factor
ZNF148,transcription_factor
ZNF589,transcription_factor
ZNF219,transcription_factor
SALL2,transcription_factor
E4F1,transcription_factor
SP7,transcription_factor
ZNF581,transcription_factor
ZNF217,transcription_factor
ZFP92,transcription_factor
ZSCAN26,transcription_factor
ZNF628,transcription_factor
ZNF521,transcription_factor
SP5,transcription_factor
ZNF316,transcription_factor
ZNF705E,transcription_factor
ZNF727,transcription_factor
ZNF735,transcription_factor
ZNF883,transcription_factor
ZNF718,transcription_factor
ZNF658,transcription_factor
SATB1,transcription_factor
CXXC1,transcription_factor
EBF4,transcription_factor
EBF3,transcription_factor
EBF2,transcription_factor
FOXF1,transcription_factor
FOXN1,transcription_factor
FOXJ1,transcription_factor
FOXD4L4,transcription_factor
TRPS1,transcription_factor
GTF2IRD1,transcription_factor
GTF2I,transcription_factor
HOXA3,transcription_factor
NKX2-2,transcription_factor
SETDB1,transcription_factor
MTERF1,transcription_factor
CDC5L,transcription_factor
SMAD9,transcription_factor
SMAD1,transcription_factor
HBP1,transcription_factor
SOX11,transcription_factor
TBX22,transcription_factor
LTF,transcription_factor
DNTTIP1,transcription_factor
POU2AF1,transcription_factor
CEBPZ,transcription_factor
GTF2B,transcription_factor
CARF,transcription_factor
SPZ1,transcription_factor
NR0B1,transcription_factor
BPTF,transcription_factor
PURA,transcription_factor
TOPORS,transcription_factor
NFE4,transcription_factor
ADNP,transcription_factor
CHAMP1,transcription_factor
DACH1,transcription_factor
DRAP1,transcription_factor
GATAD1,transcription_factor
GATAD2A,transcription_factor
HHEX,transcription_factor
HMG20A,transcription_factor
HMG20B,transcription_factor
HMGXB4,transcription_factor
